accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.728781521320343,0.8145345449447632,0.5078859329223633,0.8895726203918457,0.7288515567779541,0.898809552192688,0.9414776563644409,0.25886598229408264,0.8943560123443604,0.9809523820877075
0.8741596341133118,0.9363389611244202,0.32423752546310425,0.9404091238975525,0.8885154128074646,0.9190475940704346,0.9759901165962219,0.24868085980415344,0.9828178882598877,0.9079365134239197
0.9277310967445374,0.9734214544296265,0.2064109444618225,0.9724662899971008,0.9299719929695129,0.9607142806053162,0.9843953251838684,0.13479524850845337,0.9806763529777527,0.9666666388511658
0.9489495754241943,0.982390820980072,0.15837982296943665,0.983997642993927,0.9473389387130737,0.9595237970352173,0.9858087301254272,0.1240805834531784,0.9806451797485352,0.9650793671607971
0.9542016983032227,0.9846146702766418,0.14172957837581635,0.9877764582633972,0.9507002830505371,0.9607142806053162,0.9867989420890808,0.11708235740661621,0.9730586409568787,0.9746031761169434
0.9558823704719543,0.9858752489089966,0.13255470991134644,0.988656222820282,0.9521008133888245,0.9571428298950195,0.9864436388015747,0.124749094247818,0.9837133288383484,0.958730161190033
0.9560924172401428,0.9858496189117432,0.1324344277381897,0.9883754849433899,0.9526610374450684,0.9595237970352173,0.9888662695884705,0.10595695674419403,0.9715189933776855,0.9746031761169434
0.9510504007339478,0.986323893070221,0.13435392081737518,0.9880082011222839,0.9462184906005859,0.9714285731315613,0.9895842671394348,0.0941910371184349,0.9871382713317871,0.9746031761169434
0.9586134552955627,0.9893560409545898,0.11507634818553925,0.9909752607345581,0.9535014033317566,0.9726190567016602,0.9908465147018433,0.08836650848388672,0.9903069734573364,0.9730158448219299
0.9626050591468811,0.990664005279541,0.10318607836961746,0.9930232763290405,0.95686274766922,0.9714285731315613,0.9914663434028625,0.08738553524017334,0.9794303774833679,0.9825396537780762
0.9657562971115112,0.9919239282608032,0.09234561026096344,0.9939112663269043,0.9602240920066833,0.9690476059913635,0.9922410845756531,0.08354008942842484,0.9778481125831604,0.9809523820877075
0.9615546464920044,0.9921208024024963,0.09513483941555023,0.9930130839347839,0.9554621577262878,0.9702380895614624,0.9926378726959229,0.08281899988651276,0.9934747219085693,0.9666666388511658
0.966176450252533,0.9930973052978516,0.0872565358877182,0.9950624704360962,0.9596638679504395,0.976190447807312,0.9920710921287537,0.08275816589593887,0.9919354915618896,0.976190447807312
0.9647058844566345,0.993002712726593,0.09009812027215958,0.9939024448394775,0.9588235020637512,0.976190447807312,0.9923091530799866,0.0792863592505455,0.9919354915618896,0.976190447807312
0.9665966629981995,0.9940149188041687,0.08189480751752853,0.9939183592796326,0.9613445401191711,0.9714285731315613,0.9923166632652283,0.09165685623884201,0.9918830990791321,0.9698412418365479
0.9682773351669312,0.9942500591278076,0.07789285480976105,0.9956508874893188,0.961904764175415,0.9750000238418579,0.99282306432724,0.07637636363506317,0.9872000217437744,0.9793650507926941
0.9720588326454163,0.995410144329071,0.06919992715120316,0.9953877329826355,0.9672268629074097,0.9785714149475098,0.9932917356491089,0.07150046527385712,0.9967532753944397,0.9746031761169434
0.9678571224212646,0.9953395128250122,0.0745508074760437,0.9953609704971313,0.9616246223449707,0.9714285731315613,0.993151843547821,0.08549980819225311,0.9918830990791321,0.9698412418365479
0.9760504364967346,0.9969057440757751,0.05354538559913635,0.9962664842605591,0.9717086553573608,0.9750000238418579,0.9937566518783569,0.0774286538362503,0.995121955871582,0.9714285731315613
0.9710084199905396,0.9966885447502136,0.06307674199342728,0.9953810572624207,0.9658263325691223,0.9750000238418579,0.9941836595535278,0.06702940911054611,0.9887640476226807,0.9777777791023254
0.9768907427787781,0.997284471988678,0.053427062928676605,0.9971264600753784,0.9719887971878052,0.9797618985176086,0.9941648244857788,0.0651855543255806,0.9888357520103455,0.9841269850730896
0.9806722402572632,0.9971461296081543,0.04681053385138512,0.9982808232307434,0.9759103655815125,0.9785714149475098,0.9944972991943359,0.05856894701719284,0.9903846383094788,0.9809523820877075
0.9779411554336548,0.9978201389312744,0.04716549813747406,0.9977018237113953,0.9728291034698486,0.9797618985176086,0.9939683079719543,0.0655892863869667,0.9935587644577026,0.9793650507926941
0.9802520871162415,0.9979666471481323,0.04224592074751854,0.9979942440986633,0.9756302237510681,0.973809540271759,0.9878948926925659,0.10832269489765167,0.9735202789306641,0.9920634627342224
0.9775210022926331,0.997806966304779,0.048005249351263046,0.9971289038658142,0.9728291034698486,0.9821428656578064,0.9932955503463745,0.06652378290891647,0.9935794472694397,0.9825396537780762
0.9768907427787781,0.9972217082977295,0.05521880090236664,0.9959862232208252,0.973109245300293,0.9821428656578064,0.994259238243103,0.06616226583719254,0.9857819676399231,0.9904761910438538
0.9829831719398499,0.9983446598052979,0.0389188677072525,0.9988561868667603,0.9784313440322876,0.9809523820877075,0.9926983714103699,0.05909191444516182,0.9842271208763123,0.9904761910438538
