accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.7462185025215149,0.8663172125816345,0.4563766419887543,0.9229942560195923,0.721848726272583,0.9214285612106323,0.9379364848136902,0.2528868019580841,0.9338461756706238,0.9634920358657837
0.9033613204956055,0.9456519484519958,0.2933698296546936,0.9465824365615845,0.9232493042945862,0.925000011920929,0.9628419876098633,0.24249739944934845,0.9639934301376343,0.934920608997345
0.9266806840896606,0.9703666567802429,0.21996721625328064,0.9702189564704895,0.9308122992515564,0.9464285969734192,0.9783106446266174,0.15996843576431274,0.9695023894309998,0.958730161190033
0.9334033727645874,0.9768760800361633,0.18486511707305908,0.9799351096153259,0.9302520751953125,0.9452381134033203,0.9821164011955261,0.15652050077915192,0.9802631735801697,0.9460317492485046
0.9342436790466309,0.9804334044456482,0.17013943195343018,0.9810930490493774,0.9302520751953125,0.9261904954910278,0.9835676550865173,0.20652641355991364,0.9930555820465088,0.9079365134239197
0.9382352828979492,0.9829698801040649,0.15353325009346008,0.9863420724868774,0.9305322170257568,0.9642857313156128,0.9876644611358643,0.11455392092466354,0.9885993599891663,0.9634920358657837
0.9392856955528259,0.9843334555625916,0.14779168367385864,0.9860740900039673,0.9322128891944885,0.9226190447807312,0.9863680601119995,0.2047358751296997,0.9947460889816284,0.9015873074531555
0.9523109197616577,0.9875019788742065,0.12510016560554504,0.9920518398284912,0.9439775943756104,0.9654762148857117,0.9900075793266296,0.0988338440656662,0.979266345500946,0.9746031761169434
0.9495798349380493,0.98868328332901,0.1198195144534111,0.9917306303977966,0.940616250038147,0.9678571224212646,0.9903325438499451,0.09459715336561203,0.9855072498321533,0.9714285731315613
0.9481092691421509,0.988558292388916,0.12430591881275177,0.9899734854698181,0.9403361082077026,0.9654762148857117,0.9904761910438538,0.0980132669210434,0.9807999730110168,0.9730158448219299
0.9563025236129761,0.9907394051551819,0.10973311960697174,0.9929618835449219,0.9484593868255615,0.9666666388511658,0.98893803358078,0.1042097881436348,0.9777777791023254,0.9777777791023254
0.9577730894088745,0.9912209510803223,0.10554564744234085,0.9935540556907654,0.9498599171638489,0.9690476059913635,0.9912509322166443,0.1023428812623024,0.9808917045593262,0.9777777791023254
0.9615546464920044,0.9935194849967957,0.09096556901931763,0.9944525361061096,0.9540616273880005,0.9678571224212646,0.9925888776779175,0.09066765755414963,0.9855072498321533,0.9714285731315613
0.9632353186607361,0.9936437606811523,0.09154374897480011,0.9938900470733643,0.95686274766922,0.9702380895614624,0.9918707013130188,0.09519539773464203,0.9855538010597229,0.9746031761169434
0.9640756249427795,0.9934338331222534,0.0880260020494461,0.9944719076156616,0.9574229717254639,0.9666666388511658,0.9934202432632446,0.09347575902938843,0.9950658082962036,0.9603174328804016
0.9703781604766846,0.9939872622489929,0.07717589288949966,0.9950909614562988,0.9652661085128784,0.9702380895614624,0.988612949848175,0.09823106974363327,0.9855538010597229,0.9746031761169434
0.9699580073356628,0.9951977133750916,0.07100548595190048,0.9962351322174072,0.9635854363441467,0.9654762148857117,0.992849588394165,0.0882110670208931,0.9886178970336914,0.9650793671607971
0.9703781604766846,0.9952450394630432,0.06734509766101837,0.9956634640693665,0.9647058844566345,0.9690476059913635,0.9871503710746765,0.10219240933656693,0.9824281334877014,0.976190447807312
0.971218466758728,0.9958399534225464,0.06723387539386749,0.9962416887283325,0.9652661085128784,0.9714285731315613,0.9925585389137268,0.10137627273797989,0.9809523820877075,0.9809523820877075
0.972478985786438,0.9954942464828491,0.06718660145998001,0.9959619045257568,0.9672268629074097,0.9714285731315613,0.9936696290969849,0.08272016048431396,0.9887096881866455,0.9730158448219299
0.9722688794136047,0.9962735176086426,0.06742724031209946,0.9953890442848206,0.967507004737854,0.976190447807312,0.9936431646347046,0.08642435818910599,0.9856687784194946,0.9825396537780762
0.9726890921592712,0.9957313537597656,0.06486739963293076,0.9953917264938354,0.9680672287940979,0.973809540271759,0.9922826290130615,0.09076658636331558,0.9794952869415283,0.9857142567634583
0.9762604832649231,0.9975465536117554,0.05155182629823685,0.996267557144165,0.9719887971878052,0.9785714149475098,0.9926870465278625,0.07738595455884933,0.9811320900917053,0.9904761910438538
0.9817227125167847,0.9980173110961914,0.04265383258461952,0.998568594455719,0.9770308136940002,0.9809523820877075,0.9934731125831604,0.07790759205818176,0.9811912178993225,0.9936507940292358
0.9852941036224365,0.9983104467391968,0.03676637262105942,0.998291552066803,0.9820728302001953,0.9785714149475098,0.9934579730033875,0.07733748108148575,0.9766355156898499,0.9952380657196045
0.9802520871162415,0.998160719871521,0.04515837877988815,0.99657142162323,0.9770308136940002,0.9666666388511658,0.9900150895118713,0.10250828415155411,0.9688473343849182,0.9873015880584717
0.9840335845947266,0.9981419444084167,0.041281167417764664,0.9971542358398438,0.9815126061439514,0.973809540271759,0.9928496479988098,0.07831275463104248,0.9840764403343201,0.9809523820877075
0.9857142567634583,0.9989060163497925,0.03625194728374481,0.9971607327461243,0.983753502368927,0.9845238327980042,0.9938246607780457,0.06872051954269409,0.9873617887496948,0.9920634627342224
0.9855042099952698,0.998648464679718,0.035038504749536514,0.9985759258270264,0.9820728302001953,0.9821428656578064,0.9937301278114319,0.07361554354429245,0.9827315807342529,0.9936507940292358
0.9873949289321899,0.9989811778068542,0.033825621008872986,0.9977311491966248,0.9854341745376587,0.9821428656578064,0.9936318397521973,0.06362851709127426,0.9857819676399231,0.9904761910438538
