model,preprocessing,accuracy,precision,recall,f1_score,roc_auc
CNN,raw,0.7105263157894737,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.6753623188405797
CNN,ghe,0.6052631578947368,0.75,0.5217391304347826,0.6153846153846154,0.7130434782608696
CNN,clahe,0.631578947368421,0.7142857142857143,0.6521739130434783,0.6818181818181818,0.6666666666666667
