preprocessing,class_name,entropy_mean,entropy_std,sobel_energy_mean,sobel_energy_std,mean_intensity,std_intensity
clahe,no_tumor,6.288328227800115,0.9834711731148655,0.8535479590723981,0.2308383873198177,0.2943138,0.2732433
clahe,tumor,6.957112754360633,0.6624288316935759,0.9351211007410449,0.2132521504810472,0.3707528,0.28105336
ghe,no_tumor,5.326055543063606,0.8166600847461012,0.7770568890800377,0.311343533317666,0.44092497,0.29004633
ghe,tumor,6.07966728949902,0.6860503102244239,0.8669887078161942,0.28495505845866376,0.46831906,0.29068843
raw,no_tumor,5.53968891937912,0.8391102374938452,0.48708611812407915,0.23727449712186485,0.20378204,0.20258567
raw,tumor,6.339343812228628,0.698094709713415,0.5846116778156755,0.2659587646180398,0.275936,0.22639231
