accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5819209218025208,0.520531415939331,0.6943697929382324,0.6197183132171631,0.8148148059844971,0.6315789222717285,0.7827380895614624,0.6692019701004028,0.6315789222717285,1.0
0.5141242742538452,0.4830918312072754,0.6960100531578064,0.5948275923728943,0.6388888955116272,0.6842105388641357,0.6577380895614624,0.690660297870636,0.875,0.5833333134651184
0.5649717450141907,0.6502951979637146,0.6858859062194824,0.7627118825912476,0.4166666567325592,0.3684210479259491,0.7767857313156128,0.6937592029571533,0.0,0.0
0.5254237055778503,0.6569377779960632,0.6815358996391296,0.8333333134651184,0.2777777910232544,0.3947368562221527,0.7976190447807312,0.6880003213882446,0.6000000238418579,0.125
0.5706214904785156,0.6452630758285522,0.6747571229934692,0.8333333134651184,0.37037035822868347,0.7894737124443054,0.7976189851760864,0.6562495231628418,0.7666666507720947,0.9583333134651184
0.5536723136901855,0.657206118106842,0.6639531850814819,0.7230769395828247,0.43518519401550293,0.31578946113586426,0.8095238208770752,0.6927539110183716,0.0,0.0
0.4576271176338196,0.7288647890090942,0.6652930974960327,0.8333333134651184,0.1388888955116272,0.4736842215061188,0.8095238208770752,0.6751265525817871,0.75,0.25
0.5819209218025208,0.6911567449569702,0.6562768816947937,0.8035714030265808,0.4166666567325592,0.6578947305679321,0.805059552192688,0.6477462649345398,0.8666666746139526,0.5416666865348816
0.5762711763381958,0.7505367994308472,0.6391881704330444,0.9024389982223511,0.34259259700775146,0.6052631735801697,0.8184523582458496,0.6418095827102661,0.8461538553237915,0.4583333432674408
0.6327683329582214,0.7626811265945435,0.6251582503318787,0.8524590134620667,0.48148149251937866,0.8684210777282715,0.824404776096344,0.5913923382759094,0.8799999952316284,0.9166666865348816
0.6553672552108765,0.7419484853744507,0.6098430752754211,0.797468364238739,0.5833333134651184,0.7894737124443054,0.8229166269302368,0.5631466507911682,0.8999999761581421,0.75
0.694915235042572,0.7991143465042114,0.5769268274307251,0.8552631735801697,0.6018518805503845,0.7631579041481018,0.8303570747375488,0.543252170085907,0.7419354915618896,0.9583333134651184
0.6836158037185669,0.7218867540359497,0.617381751537323,0.7954545617103577,0.6481481194496155,0.8157894611358643,0.827380895614624,0.5465941429138184,0.8695651888847351,0.8333333134651184
0.6610169410705566,0.7847557663917542,0.5882031917572021,0.8333333134651184,0.5555555820465088,0.8684210777282715,0.8244047164916992,0.5459580421447754,0.8518518805503845,0.9583333134651184
0.6779661178588867,0.7779790163040161,0.5787094235420227,0.7865168452262878,0.6481481194496155,0.6842105388641357,0.8244047164916992,0.5829387307167053,0.875,0.5833333134651184
0.5819209218025208,0.7880434989929199,0.5960401296615601,0.7931034564971924,0.42592594027519226,0.8684210777282715,0.8288689851760864,0.5601007342338562,0.8518518805503845,0.9583333134651184
0.6327683329582214,0.7767713069915771,0.5983833074569702,0.8028169274330139,0.5277777910232544,0.7368420958518982,0.819940447807312,0.5861381888389587,0.8888888955116272,0.6666666865348816
0.6271186470985413,0.7879092693328857,0.5914015769958496,0.8181818127632141,0.5,0.8684210777282715,0.8169642686843872,0.5593124628067017,0.8799999952316284,0.9166666865348816
0.694915235042572,0.8262211084365845,0.5608338713645935,0.8648648858070374,0.5925925970077515,0.8684210777282715,0.8154761791229248,0.5323348045349121,0.8518518805503845,0.9583333134651184
0.6892655491828918,0.8048175573348999,0.5546103119850159,0.8354430198669434,0.6111111044883728,0.8684210777282715,0.8169642686843872,0.5103322863578796,0.8518518805503845,0.9583333134651184
0.6610169410705566,0.7816022634506226,0.5711897611618042,0.8157894611358643,0.5740740895271301,0.8684210777282715,0.8214285373687744,0.5324851870536804,0.8518518805503845,0.9583333134651184
0.6666666865348816,0.7795222997665405,0.5725755095481873,0.7816091775894165,0.6296296119689941,0.7894737124443054,0.8125,0.5435531139373779,0.8636363744735718,0.7916666865348816
0.6779661178588867,0.7904589176177979,0.5745102167129517,0.8399999737739563,0.5833333134651184,0.8421052694320679,0.8139880895614624,0.5303794741630554,0.8461538553237915,0.9166666865348816
0.6892655491828918,0.7812667489051819,0.5836498737335205,0.8271604776382446,0.6203703880310059,0.7631579041481018,0.8110119104385376,0.5612672567367554,0.8260869383811951,0.7916666865348816
0.700564980506897,0.8105877637863159,0.560185432434082,0.8313252925872803,0.6388888955116272,0.8157894611358643,0.8065475821495056,0.5456467866897583,0.8399999737739563,0.875
