preprocessing,label,class_name,entropy,sobel_edge_energy,mean_intensity,std_intensity
raw,1,tumor,6.751463929298231,0.5234385206597729,0.24721849,0.21760121
raw,1,tumor,6.844185777154665,0.47282450343592136,0.35655853,0.30414006
raw,1,tumor,6.015545789249937,0.29329970959296875,0.30240598,0.22259527
raw,0,no_tumor,5.619157814514756,0.2822526713036142,0.21434471,0.191288
raw,0,no_tumor,5.500245773122744,0.5178050201494006,0.18955365,0.22454871
raw,0,no_tumor,6.511446800470635,1.079789684829601,0.33611366,0.29748264
raw,0,no_tumor,5.340540247249107,0.8005332811306162,0.2096256,0.22638102
raw,1,tumor,5.580374037888911,0.7036917863801315,0.25839102,0.23517464
raw,1,tumor,6.9850302711864485,0.8615155638150682,0.42450982,0.27549407
raw,0,no_tumor,5.147169552324677,0.5668538489919623,0.22047192,0.1973345
raw,1,tumor,5.570449884701378,0.4964122158761066,0.284623,0.27256304
raw,1,tumor,6.594047122772413,0.5833616594592199,0.28411174,0.20568906
raw,1,tumor,6.663294049739118,0.9885568590161585,0.30769834,0.23846844
raw,0,no_tumor,5.972158126184183,0.15627644271866867,0.1927993,0.16629323
raw,1,tumor,5.326532151498651,0.4827405538012383,0.17335925,0.18243782
raw,1,tumor,7.27778007490571,1.301548627932139,0.5141609,0.30326933
raw,1,tumor,6.745667808088122,0.27553968656836236,0.28762808,0.17066401
raw,1,tumor,5.985865861596655,1.0972381151192983,0.29694536,0.28809252
raw,1,tumor,7.111267373136022,0.3182535971794084,0.27009255,0.22691365
raw,1,tumor,6.3832651328969625,0.30980719271010887,0.20342588,0.17244366
raw,0,no_tumor,5.396412781088247,0.2796012560268393,0.11612693,0.14158604
raw,1,tumor,6.217635135345466,0.224231962572997,0.20693696,0.17451885
raw,0,no_tumor,5.7691892385160255,0.13408922821988006,0.19301423,0.1792735
raw,0,no_tumor,6.95831471988598,0.5804256341540185,0.27778825,0.188994
raw,1,tumor,6.966739551513751,0.8475023745023431,0.40111154,0.2330227
raw,1,tumor,4.327524691793749,0.6317259331812362,0.18681976,0.24332564
raw,1,tumor,6.555378385228904,0.5607160315558528,0.26426739,0.22450513
raw,0,no_tumor,5.9827487185337995,0.28842741264330274,0.19834463,0.1736149
raw,1,tumor,6.427839893499,0.3633919285039996,0.21616404,0.21783961
raw,0,no_tumor,6.954019858036287,0.5314859045016292,0.34499153,0.26169458
raw,1,tumor,5.679239124323928,0.4510884489215,0.17511752,0.17966698
raw,1,tumor,6.027476743654945,0.7267147140700971,0.26081187,0.27834952
raw,1,tumor,5.669265062475465,0.20694089229872953,0.13276224,0.16889583
raw,0,no_tumor,5.862480903917302,0.5804942326896714,0.19914767,0.18921776
raw,1,tumor,6.982884292494832,0.22695452384912032,0.2778524,0.17874126
raw,1,tumor,6.141063837995908,0.43616503174195387,0.26660466,0.23679043
raw,1,tumor,5.34637352214636,0.3184024444887742,0.16389927,0.17261477
raw,1,tumor,6.852313892175795,0.6601120442538828,0.2541755,0.19164877
raw,0,no_tumor,4.284976086438676,0.5359897129967723,0.11947213,0.18964599
raw,1,tumor,5.05060588078044,0.3407508268868761,0.18570533,0.17558973
raw,0,no_tumor,4.3856140512335555,0.24685091195006198,0.11770451,0.18528965
raw,1,tumor,3.706880815763739,0.5961333688880883,0.14673474,0.22576986
raw,1,tumor,7.130073383408278,0.6668986208489689,0.2954188,0.27149588
raw,1,tumor,7.492720971080445,0.567599162289562,0.4277935,0.2171129
raw,1,tumor,4.847776762663104,0.6813371607226404,0.16341433,0.23549989
