class,preprocessing,entropy,sobel_energy,mean_intensity,std_intensity
glioma,raw,3.932281811581548,0.24223989248275757,0.1358355353860294,0.1427827487300097
glioma,ghe,3.8572986031413334,0.49670013785362244,0.39560116038602944,0.32436971254767877
glioma,clahe,4.37563505210559,0.43742114305496216,0.24405206418504902,0.23701472345034102
glioma,raw,4.614953966159315,0.3374757766723633,0.1913275026807598,0.17327000798038913
glioma,ghe,4.47125985137302,0.5452596545219421,0.49406762216605393,0.28995199418751383
glioma,clahe,5.120015391121271,0.5561573505401611,0.3099927715226716,0.2492169021430292
glioma,raw,4.125195982083346,0.2760293781757355,0.17204661649816178,0.1798827334478228
glioma,ghe,3.937439804962138,0.4635279178619385,0.5063888250612745,0.2793693206835659
glioma,clahe,4.740048312980582,0.44643282890319824,0.26964805453431373,0.2553524280241077
glioma,raw,4.471841969235461,0.2937809228897095,0.16270392922794116,0.15556686434815808
glioma,ghe,4.341190514813041,0.5284053087234497,0.4905675551470588,0.29173045885229076
glioma,clahe,5.033771588258036,0.5137782096862793,0.292050111060049,0.24146072099028668
glioma,raw,3.244182755818181,0.19900137186050415,0.10764854281556373,0.1555412053862359
glioma,ghe,3.1270088370654507,0.3879115581512451,0.35902602251838234,0.3293238793344355
glioma,clahe,3.7514351646813338,0.3319607675075531,0.19237132352941178,0.24697949928516263
glioma,raw,3.1247175466276587,0.1509917974472046,0.0980035520067402,0.13155626425890238
glioma,ghe,3.02786339644351,0.3866879940032959,0.3610681870404412,0.327112709669498
glioma,clahe,3.633753603192978,0.2759125828742981,0.17459525314031862,0.21472106540253028
glioma,raw,4.104843525858854,0.2531760334968567,0.14977428959865197,0.16720261645947518
glioma,ghe,3.9962636566565584,0.4246557950973511,0.4309579886642157,0.3143440564758261
glioma,clahe,4.60208012707969,0.43907153606414795,0.2544996074601716,0.2622924451743549
glioma,raw,3.2561797598911046,0.19102336466312408,0.11382889093137255,0.1570672847913988
glioma,ghe,3.129096847248239,0.3603200912475586,0.3863302791819853,0.32178935343380494
glioma,clahe,3.8320828779271867,0.3275063633918762,0.19501258999693627,0.24383427392858603
glioma,raw,3.0837699558182967,0.15803106129169464,0.10247802734375,0.15180876345811786
glioma,ghe,2.9592442875564418,0.33905458450317383,0.37458017386642156,0.3261478616764896
glioma,clahe,3.5513712598634144,0.25969603657722473,0.16241957720588235,0.22058941633452683
glioma,raw,3.8180110375635645,0.24184168875217438,0.12836985868566175,0.14693373991527373
glioma,ghe,3.732517896418626,0.480965256690979,0.39834056181066174,0.32212899311486254
glioma,clahe,4.283556541954471,0.43245232105255127,0.2285122740502451,0.24282369649822988
glioma,raw,3.1759200110455055,0.17763763666152954,0.1035223268995098,0.13745161966789954
glioma,ghe,3.0575392167951536,0.4130629897117615,0.3584005916819853,0.32683067559127216
glioma,clahe,3.5968335314419444,0.29253384470939636,0.1710494695925245,0.20545928223827276
glioma,raw,3.240996008175507,0.1621939241886139,0.08764121859681373,0.12999659111181827
glioma,ghe,3.1404870301998233,0.3744954764842987,0.41290115655637255,0.3185043067406521
glioma,clahe,3.775080920930208,0.2914707660675049,0.15928883272058825,0.21265435671913327
glioma,raw,4.34775628194597,0.2711566984653473,0.15912511488970588,0.15802868063267744
glioma,ghe,4.217145983713319,0.47198641300201416,0.49409371170343136,0.28698058027085
glioma,clahe,4.864097902554105,0.46030813455581665,0.27932799096200983,0.24043788849287634
glioma,raw,3.6998752821582697,0.2180805504322052,0.12736098345588234,0.1534530562074246
glioma,ghe,3.5848084354573,0.39198654890060425,0.40769497740502453,0.3167996090914783
glioma,clahe,4.229192999350221,0.37858155369758606,0.22082375919117647,0.24614006225343846
glioma,raw,3.7935633537586515,0.1999439299106598,0.09866368910845588,0.12373044020528795
glioma,ghe,3.7011946012944024,0.41308918595314026,0.39562940410539216,0.3242076311483325
glioma,clahe,4.290447139776018,0.37040865421295166,0.19472560508578432,0.21263485703834853
glioma,raw,4.324765600645306,0.2734765410423279,0.15334185431985295,0.14068901983541082
glioma,ghe,4.19569636159839,0.5409715175628662,0.4914842792585784,0.2914845692717679
glioma,clahe,4.927671235647343,0.48478031158447266,0.27503063725490196,0.22283266577001665
glioma,raw,4.416666083542388,0.2895180583000183,0.18351213043811274,0.13444586207113185
glioma,ghe,4.299628398435837,0.6627315282821655,0.49279067095588236,0.2936389749323402
glioma,clahe,5.031216805501343,0.5225663185119629,0.31148897058823527,0.21634647394027998
glioma,raw,3.1564869776067455,0.13789230585098267,0.09493240655637254,0.11570372885206587
glioma,ghe,3.0750561558253997,0.4605885148048401,0.3472436044730392,0.3344404277798933
glioma,clahe,3.7453424676069966,0.2728753685951233,0.17728439031862744,0.19891352928478065
glioma,raw,3.83792666173325,0.21589654684066772,0.12568622663909312,0.12937473235541824
glioma,ghe,3.7751522692852495,0.5022974610328674,0.396920716528799,0.32415039114246097
glioma,clahe,4.377121813314398,0.41466426849365234,0.23682741651348038,0.2293430564902328
glioma,raw,4.517532459333567,0.3206173777580261,0.2013238645067402,0.15810715627337685
glioma,ghe,4.3704277944907055,0.6111432313919067,0.4921798406862745,0.292485555151742
glioma,clahe,5.074932226001388,0.5427073240280151,0.31980483111213237,0.23352095264210523
glioma,raw,3.24359889975539,0.20190556347370148,0.10646613625919117,0.1488559952015365
glioma,ghe,3.1239522757031875,0.39327967166900635,0.3465097464767157,0.3273994978544259
glioma,clahe,3.6681900991378154,0.3296460509300232,0.17817358877144607,0.2252829730440132
glioma,raw,2.967882495144946,0.13551023602485657,0.1016613530177696,0.153203012198088
glioma,ghe,2.859126997670451,0.44204282760620117,0.39805597043504903,0.3271777162389759
glioma,clahe,3.5718913250876696,0.25170814990997314,0.16781723920036765,0.23054709107344754
glioma,raw,4.194997779326298,0.29155129194259644,0.1640790153952206,0.16900980603099172
glioma,ghe,4.090994585180686,0.5071278810501099,0.393716490502451,0.32760336950929553
glioma,clahe,4.6179613573226606,0.48604077100753784,0.265533327588848,0.252339454327679
glioma,raw,3.33380582372131,0.1666414737701416,0.10387680951286765,0.13037200593200038
glioma,ghe,3.2444230757520494,0.4326995611190796,0.348031556372549,0.33231598679892926
glioma,clahe,3.8694281981168617,0.3116559088230133,0.19027626187193628,0.21746608221440195
glioma,raw,3.9768926386424264,0.23251664638519287,0.17012843711703432,0.19247627779186596
glioma,ghe,3.7933565124574855,0.43222367763519287,0.5166865330116421,0.2702596220020898
glioma,clahe,4.6087577612782304,0.3690531849861145,0.2595837162990196,0.2664179051317987
glioma,raw,4.301023061732536,0.25977230072021484,0.1345846737132353,0.1301733869918063
glioma,ghe,4.1866361216019,0.5563168525695801,0.4966528799019608,0.2874898958580359
glioma,clahe,4.943268180680802,0.49126720428466797,0.2642575731464461,0.22197480432421662
glioma,raw,3.7570212455761087,0.17772765457630157,0.12190635531556372,0.1257151643517397
glioma,ghe,3.66725785027897,0.4568561911582947,0.3941073548560049,0.3259306199320872
glioma,clahe,4.317034528600136,0.3548922538757324,0.22579154220281863,0.21951720614875
glioma,raw,3.9954171187779153,0.22981122136116028,0.13251953125,0.1450003709039735
glioma,ghe,3.8949465487924955,0.4424377381801605,0.3956772748161765,0.32622034925658333
glioma,clahe,4.46977894252063,0.4060457944869995,0.23863381778492648,0.23322273039758284
glioma,raw,4.453495330474352,0.3096436560153961,0.1937799191942402,0.1527764385369543
glioma,ghe,4.30016938189926,0.6110347509384155,0.49730727251838236,0.2893202384907537
glioma,clahe,5.098219672342678,0.5331892967224121,0.3195053998161765,0.23301669474018605
glioma,raw,3.664319483028929,0.2068643867969513,0.10727706609987746,0.1328211418157727
glioma,ghe,3.581610945849256,0.43686890602111816,0.3935195025275735,0.3229238358724334
glioma,clahe,4.189082093551186,0.4008985459804535,0.20432487936580881,0.2344406100245664
glioma,raw,3.1053792472436803,0.16663610935211182,0.10349384382659314,0.1521124467157052
glioma,ghe,2.983733134690464,0.3301534354686737,0.3892281326593137,0.31966824238899527
glioma,clahe,3.621758830472805,0.28416526317596436,0.1669921875,0.22495050752495607
glioma,raw,3.963803816523794,0.21308760344982147,0.13493724149816178,0.1519362426132002
glioma,ghe,3.8342003186434876,0.38356828689575195,0.5117534562653187,0.27142646411378596
glioma,clahe,4.662959148139775,0.39582395553588867,0.2401546702665441,0.24801525584998643
glioma,raw,3.145272467531113,0.19169148802757263,0.10481675091911764,0.15856192293021157
glioma,ghe,3.0125909321994793,0.32987257838249207,0.38966016582414215,0.3193119209832605
glioma,clahe,3.6328928744127946,0.3083563446998596,0.17267874923406862,0.23284797480718014
glioma,raw,3.935364726976516,0.22633078694343567,0.12979018267463235,0.15967992779165832
glioma,ghe,3.820066262280962,0.3896874785423279,0.4330374923406863,0.313124788060827
glioma,clahe,4.49853809978261,0.38946640491485596,0.2302258061427696,0.2506142732453725
glioma,raw,4.015666498623877,0.2725679576396942,0.16332936006433824,0.17593652251163136
glioma,ghe,3.835582249025746,0.4277018904685974,0.5117582433363971,0.2697366558707344
glioma,clahe,4.658488541757156,0.43725359439849854,0.2617448395373774,0.25434469458794484
glioma,raw,3.223146719709448,0.18811000883579254,0.11508094937193628,0.1472517742964174
glioma,ghe,3.0982184986264922,0.42605310678482056,0.34520526960784315,0.3308697740522709
glioma,clahe,3.7050599279397485,0.3041762411594391,0.19239860983455884,0.22263699520312344
glioma,raw,4.015589408992069,0.25263285636901855,0.15498046875,0.17448022224626936
glioma,ghe,3.8594305449806465,0.4339762330055237,0.4353436638327206,0.3130824127235563
glioma,clahe,4.562270273578513,0.4147193431854248,0.2443701650582108,0.25085314267368225
glioma,raw,3.2247742389063356,0.17136803269386292,0.10621720856311274,0.12893049280943344
glioma,ghe,3.144893330358963,0.4646598696708679,0.3454836377910539,0.3309884154433943
glioma,clahe,3.740570375246959,0.3189004063606262,0.18790594362745097,0.21266983822965796
glioma,raw,4.0075238020383335,0.2424580305814743,0.16139394722732844,0.17751828562254543
glioma,ghe,3.87072855087582,0.43283140659332275,0.43155876608455884,0.3138907757197962
glioma,clahe,4.565053325712698,0.42085570096969604,0.2606531479779412,0.2657494098376202
glioma,raw,4.234760006989332,0.25652629137039185,0.15851428462009803,0.16585585997834193
glioma,ghe,4.108632587478699,0.4573741555213928,0.4269519282322304,0.3176473567837588
glioma,clahe,4.77513406222036,0.4531048536300659,0.26690865310968137,0.25522993777919545
glioma,raw,2.9394831603929927,0.12333228439092636,0.08166336358762255,0.10643648859494056
glioma,ghe,2.8618568699246967,0.4402801990509033,0.36810015510110294,0.33061278675273137
glioma,clahe,3.5681788726041503,0.25109362602233887,0.1504772709865196,0.18365578110462477
glioma,raw,4.1339149277580995,0.2792186141014099,0.1409244312959559,0.15023783002331123
glioma,ghe,4.041364437816737,0.5155070424079895,0.3961069144454657,0.32665380565062496
glioma,clahe,4.592060871226286,0.48181501030921936,0.2567538392310049,0.24444457804673433
glioma,raw,4.127262493577227,0.2811744809150696,0.16386216107536763,0.17607449388269705
glioma,ghe,4.002681866137327,0.47739937901496887,0.42619341681985295,0.3161242094939448
glioma,clahe,4.6402931090259765,0.48265570402145386,0.26452804266237745,0.2666971408025143
glioma,raw,3.887339318447926,0.22770532965660095,0.1478561102175245,0.15030627506900113
glioma,ghe,3.789905501808365,0.48372727632522583,0.39508056640625,0.3259422894149722
glioma,clahe,4.353976065854218,0.40352410078048706,0.24300130208333334,0.23235841555918854
glioma,raw,3.8371402694607015,0.209713414311409,0.1228747797947304,0.1433847209041805
glioma,ghe,3.74684220356101,0.4087616205215454,0.3943672928155637,0.3235291500756841
glioma,clahe,4.301845321154718,0.38037484884262085,0.21946830001531864,0.2331790425991128
glioma,raw,2.9750889272328864,0.16440355777740479,0.10152204924938725,0.14079651718973962
glioma,ghe,2.8522260238576016,0.37612175941467285,0.37888686236213237,0.3233887442408522
glioma,clahe,3.481475200436458,0.27905261516571045,0.16741967294730392,0.21391611927350207
glioma,raw,3.93944162747684,0.2254326343536377,0.1324683095894608,0.13962820882415058
glioma,ghe,3.858275423037281,0.4818907380104065,0.39932430491727944,0.32483857220625184
glioma,clahe,4.442235159875212,0.41840237379074097,0.23772834329044118,0.2322285312816043
glioma,raw,2.9448122496470694,0.13590633869171143,0.08521991804534314,0.11795773298163378
glioma,ghe,2.854275559214723,0.35357844829559326,0.36083577473958334,0.3240608887097413
glioma,clahe,3.3356295020782074,0.24927610158920288,0.14546281403186276,0.18870298400290314
glioma,raw,2.9783235047689622,0.14705392718315125,0.08949836282169117,0.11755135974182869
glioma,ghe,2.8713066839958916,0.43470481038093567,0.34691425398284315,0.3312228862988748
glioma,clahe,3.487628520022329,0.2583119869232178,0.1585592830882353,0.18943765040992971
glioma,raw,3.9321108940829155,0.2036673128604889,0.14170783547794116,0.14917389587914986
glioma,ghe,3.8380649015767467,0.4326975345611572,0.38713761871936275,0.3277448525788809
glioma,clahe,4.375083418788545,0.3821779787540436,0.23732622931985295,0.2354804017502056
glioma,raw,4.492428181352019,0.3049619197845459,0.1651831533394608,0.16716814166431815
glioma,ghe,4.3388302541773855,0.5065402984619141,0.4953366747089461,0.2891838656422701
glioma,clahe,5.0516593744972536,0.5024230480194092,0.28592313878676473,0.2436148067507485
glioma,raw,4.594459715135838,0.3200450837612152,0.19822782628676472,0.18342539119829893
glioma,ghe,4.437044318260295,0.49186277389526367,0.49483163871017155,0.2891332750705718
glioma,clahe,5.0898570689762686,0.5160152316093445,0.3087622549019608,0.2549803167770477
glioma,raw,3.8742726763535646,0.21894516050815582,0.12823342715992647,0.15718926574445627
glioma,ghe,3.764676511917667,0.4008582532405853,0.3946214862898284,0.32538294737069784
glioma,clahe,4.312083387814738,0.38703685998916626,0.2204723881740196,0.2432321896641976
glioma,raw,3.129571043873794,0.1566629409790039,0.12686169194240196,0.1478305553533404
glioma,ghe,3.019644042185857,0.4681270122528076,0.35543069278492645,0.3323530035466457
glioma,clahe,3.732374760718582,0.28911373019218445,0.20445795994178922,0.2261238558987956
glioma,raw,3.9582225256418404,0.21677276492118835,0.1312121821384804,0.13659340539699516
glioma,ghe,3.8867654843180857,0.4882635176181793,0.39729075712316175,0.32670893071060114
glioma,clahe,4.45515609710195,0.40955471992492676,0.23262460746017158,0.22352224967300338
glioma,raw,3.1623514732102573,0.19027084112167358,0.0907980526194853,0.14110750974579353
glioma,ghe,3.056620197545796,0.35938209295272827,0.3538330078125,0.3256801565759175
glioma,clahe,3.6043506277588113,0.3088993430137634,0.1647018133425245,0.22363397007944175
glioma,raw,3.2662418622601623,0.17230309545993805,0.11398351332720588,0.13490593661098585
glioma,ghe,3.1725282711058775,0.46137043833732605,0.34838340609681373,0.3326431380422234
glioma,clahe,3.774573101669713,0.30567067861557007,0.19609183517156864,0.2142017645562671
glioma,raw,3.6217738210037225,0.24197234213352203,0.13479386871936275,0.1831974514797823
glioma,ghe,3.493865279745433,0.38658297061920166,0.413443053002451,0.31737407701768033
glioma,clahe,4.125431747586095,0.3958861529827118,0.21238654641544116,0.2668827400905919
glioma,raw,3.6092722476213965,0.23409387469291687,0.1323795094209559,0.16530497113108605
glioma,ghe,3.4982369937536313,0.4418746829032898,0.34891070197610297,0.33127529540427586
glioma,clahe,3.995728499399018,0.3889787197113037,0.2187698663449755,0.2497641976165536
glioma,raw,3.989655508761163,0.24417725205421448,0.15396896063112744,0.1662555714763454
glioma,ghe,3.839291253892285,0.4688510000705719,0.5102747300091912,0.2750940713594855
glioma,clahe,4.711801270574028,0.4146108627319336,0.2533669864430147,0.25098039745524353
glioma,raw,4.441903045491241,0.2641768753528595,0.16682942708333334,0.15405402440202617
glioma,ghe,4.320203540569666,0.486754834651947,0.49687332452512256,0.28731151916623754
glioma,clahe,5.019691480134345,0.46543359756469727,0.28625105315563726,0.23524298899291562
glioma,raw,4.5843960827720736,0.27057579159736633,0.22422832414215688,0.15774742506176345
glioma,ghe,4.4573560504832,0.5486628413200378,0.49511551202512255,0.29128667192460955
glioma,clahe,5.170239371087202,0.5008628964424133,0.345355104932598,0.23753225466056369
glioma,raw,3.4401357060487356,0.20401987433433533,0.10043155445772059,0.13848129224654324
glioma,ghe,3.3461375332264405,0.39595532417297363,0.361114382276348,0.32733221503021825
glioma,clahe,3.9384750263516133,0.3549935221672058,0.18912712545955881,0.23402598132793279
glioma,raw,3.6638107585012536,0.24412384629249573,0.137075865502451,0.17366166803257432
glioma,ghe,3.5266114535433224,0.41599351167678833,0.40868757659313726,0.3178703833346508
glioma,clahe,4.142795727038257,0.39493781328201294,0.23115689146752452,0.2681373414570912
glioma,raw,3.5995590512370006,0.16063979268074036,0.09770795036764705,0.10716575034194871
glioma,ghe,3.5322536780389555,0.4637412428855896,0.4039960075827206,0.32275616647767896
glioma,clahe,4.168960039323296,0.33528801798820496,0.19255945542279412,0.197943904736073
glioma,raw,3.9760249801936145,0.2171195149421692,0.13269019033394608,0.13701679964250824
glioma,ghe,3.9099013715105153,0.4861253798007965,0.39859619140625,0.3265344721315797
glioma,clahe,4.492076842713428,0.41318392753601074,0.23672688802083333,0.22630444074161712
