model,preprocessing,accuracy,precision,recall,f1_score,roc_auc
HOG+SVM,raw,0.9472222222222222,0.9478418034510915,0.9472222222222222,0.9473331929646741,0.995565843621399
HOG+SVM,ghe,0.9416666666666667,0.94214576331735,0.9416666666666667,0.9417300665886391,0.9940695016003658
HOG+SVM,clahe,0.95,0.9505093329138938,0.95,0.9501070316891428,0.9948205304069502
