accuracy,loss,val_accuracy,val_loss
0.4174603223800659,1.1912769079208374,0.5731481313705444,0.9633758664131165
0.5821428298950195,0.9348846673965454,0.6222222447395325,0.8809331059455872
0.6505952477455139,0.8098374605178833,0.7212963104248047,0.7131233215332031
0.7007936239242554,0.7014011144638062,0.7611111402511597,0.6084542274475098
0.7246031761169434,0.6549720168113708,0.7981481552124023,0.5279040336608887
0.7535714507102966,0.6040679216384888,0.8240740895271301,0.46286627650260925
0.7876983880996704,0.5334249138832092,0.8416666388511658,0.4113216698169708
0.8113095164299011,0.4798591136932373,0.8435184955596924,0.3964059054851532
0.8275793790817261,0.44319871068000793,0.8435184955596924,0.3952562212944031
0.8373016119003296,0.4147113561630249,0.8657407164573669,0.3525664806365967
0.8549603223800659,0.38091400265693665,0.8268518447875977,0.4061783254146576
0.8517857193946838,0.3859296143054962,0.8666666746139526,0.3240378499031067
0.8672618865966797,0.34755659103393555,0.8805555701255798,0.33992835879325867
0.8815476298332214,0.3185385465621948,0.8777777552604675,0.32868099212646484
0.8882936239242554,0.30710622668266296,0.8833333253860474,0.3272787630558014
0.8984127044677734,0.2761702239513397,0.8787037134170532,0.32367175817489624
0.901190459728241,0.26691609621047974,0.8898147940635681,0.2976907789707184
0.9132936596870422,0.24003446102142334,0.8879629373550415,0.29468077421188354
0.9176587462425232,0.2336142659187317,0.9212962985038757,0.2351124882698059
0.9240079522132874,0.21747100353240967,0.9203703999519348,0.23928143084049225
0.9196428656578064,0.2237095683813095,0.9101851582527161,0.2586416006088257
0.9351190328598022,0.18567584455013275,0.9296296238899231,0.20072603225708008
0.9414682388305664,0.1681293547153473,0.9175925850868225,0.22676478326320648
0.9414682388305664,0.15970264375209808,0.9314814805984497,0.19226227700710297
0.9480158686637878,0.15161095559597015,0.9305555820465088,0.19330555200576782
0.9503968358039856,0.14084608852863312,0.949999988079071,0.15935209393501282
0.9474206566810608,0.14464518427848816,0.9027777910232544,0.2674555778503418
0.9517857432365417,0.1376335173845291,0.925000011920929,0.21892327070236206
0.953769862651825,0.12702085077762604,0.925000011920929,0.20560628175735474
0.958730161190033,0.11696833372116089,0.9388889074325562,0.1750897616147995
