accuracy,loss,val_accuracy,val_loss
0.4734126925468445,1.1384844779968262,0.5722222328186035,1.0120820999145508
0.6547619104385376,0.8407686948776245,0.7287036776542664,0.6933465003967285
0.7224206328392029,0.6938602328300476,0.7083333134651184,0.7036627531051636
0.7351190447807312,0.6494229435920715,0.7972221970558167,0.5377446413040161
0.7541666626930237,0.6144529581069946,0.7990740537643433,0.5181657075881958
0.7666666507720947,0.5807942152023315,0.8231481313705444,0.4818691611289978
0.7839285731315613,0.5415876507759094,0.8185185194015503,0.4702814817428589
0.7908729910850525,0.5220084190368652,0.8333333134651184,0.43244948983192444
0.8087301850318909,0.4974839389324188,0.8231481313705444,0.4426863193511963
0.8170635104179382,0.4667353630065918,0.8509259223937988,0.3944219648838043
0.8232142925262451,0.44936636090278625,0.8518518805503845,0.4004634916782379
0.8373016119003296,0.42083579301834106,0.8657407164573669,0.36211296916007996
0.8444444537162781,0.40819451212882996,0.8768518567085266,0.352591872215271
0.8551587462425232,0.37712499499320984,0.8888888955116272,0.3322100043296814
0.8648809790611267,0.3652097284793854,0.8824074268341064,0.31893905997276306
0.8722222447395325,0.3413368761539459,0.8861111402511597,0.31463485956192017
0.8835317492485046,0.3170807957649231,0.894444465637207,0.30097949504852295
0.887499988079071,0.2972346246242523,0.8722222447395325,0.36194831132888794
0.8910714387893677,0.284140944480896,0.885185182094574,0.3459072411060333
0.8990079164505005,0.26217618584632874,0.8990740776062012,0.27482515573501587
0.9063491821289062,0.25095704197883606,0.8962963223457336,0.2932032644748688
0.9121031761169434,0.24102477729320526,0.9092592597007751,0.26278114318847656
0.9178571701049805,0.2226932793855667,0.8722222447395325,0.35595446825027466
0.9170634746551514,0.22085265815258026,0.8916666507720947,0.3213862478733063
0.9182539582252502,0.21478630602359772,0.9277777671813965,0.22903591394424438
0.9275793433189392,0.1993374228477478,0.9231481552124023,0.2185002863407135
0.9311507940292358,0.18833927810192108,0.9194444417953491,0.23528902232646942
0.932539701461792,0.18019172549247742,0.9333333373069763,0.2136160433292389
0.9388889074325562,0.16190730035305023,0.9287037253379822,0.2253284603357315
0.9406746029853821,0.16680975258350372,0.9388889074325562,0.21050214767456055
