model,preprocessing,accuracy,precision,recall,f1_score,roc_auc
CNN,raw,0.9194444444444444,0.9190953536238486,0.9194444444444444,0.9191375557693016,0.9890489254686784
CNN,ghe,0.9074074074074074,0.9095712344463956,0.9074074074074074,0.9079440931113512,0.9844330132601736
CNN,clahe,0.9231481481481482,0.9242662919089328,0.9231481481481482,0.9233321940384772,0.9878029263831734
HOG+SVM,raw,0.9472222222222222,0.9478418034510916,0.9472222222222222,0.947333192964674,0.995565843621399
HOG+SVM,ghe,0.9416666666666668,0.94214576331735,0.9416666666666668,0.9417300665886392,0.9940695016003658
HOG+SVM,clahe,0.95,0.9505093329138938,0.95,0.9501070316891428,0.9948205304069502
