accuracy,loss,val_accuracy,val_loss
0.42996031045913696,1.218400478363037,0.5611110925674438,1.0518943071365356
0.595634937286377,0.9664991497993469,0.6555555462837219,0.854258120059967
0.7382936477661133,0.7029070258140564,0.7833333611488342,0.6082295179367065
0.7992063760757446,0.5630970597267151,0.8620370626449585,0.4327389895915985
0.8251984119415283,0.49279117584228516,0.8666666746139526,0.3837582767009735
0.836904764175415,0.4548979699611664,0.8740741014480591,0.3690323531627655
0.8507936596870422,0.4207192063331604,0.8759258985519409,0.34611740708351135
0.8563492298126221,0.4019126892089844,0.8768518567085266,0.3462947607040405
0.8654761910438538,0.3802124857902527,0.8879629373550415,0.3251495957374573
0.8736110925674438,0.3621346950531006,0.8703703880310059,0.325316458940506
0.8769841194152832,0.3463394045829773,0.8796296119689941,0.32325246930122375
0.8777777552604675,0.34426742792129517,0.8694444298744202,0.33332982659339905
0.882539689540863,0.32429662346839905,0.9018518328666687,0.3002460300922394
0.8863095045089722,0.3135325610637665,0.9018518328666687,0.29380303621292114
0.8916666507720947,0.29455938935279846,0.9092592597007751,0.27110204100608826
0.8984127044677734,0.27793601155281067,0.9092592597007751,0.2660928964614868
0.9021825194358826,0.26774781942367554,0.9138888716697693,0.2547977864742279
0.9045634865760803,0.25567880272865295,0.9120370149612427,0.2549010217189789
0.9077380895614624,0.24250146746635437,0.9120370149612427,0.24804605543613434
0.9075396656990051,0.25023114681243896,0.9194444417953491,0.23834849894046783
0.9184523820877075,0.22501593828201294,0.9120370149612427,0.24166366457939148
0.9176587462425232,0.22704409062862396,0.9175925850868225,0.24315530061721802
0.9200396537780762,0.2183556705713272,0.914814829826355,0.23947304487228394
0.9253968000411987,0.20338192582130432,0.9231481552124023,0.23036111891269684
0.9275793433189392,0.1912761926651001,0.9259259104728699,0.2241411805152893
0.9303571581840515,0.1773836314678192,0.9194444417953491,0.24358461797237396
0.936904788017273,0.1763540357351303,0.9166666865348816,0.23533500730991364
0.9416666626930237,0.15968401730060577,0.925000011920929,0.22090403735637665
0.9466269612312317,0.150568887591362,0.925000011920929,0.21799331903457642
0.949404776096344,0.1352221965789795,0.9240740537643433,0.2196798324584961
