model,preprocessing,accuracy,precision,recall,f1_score,roc_auc
CNN,raw,0.9194444444444444,0.9190953536238486,0.9194444444444444,0.9191375557693015,0.9890489254686785
CNN,ghe,0.9074074074074074,0.9095712344463955,0.9074074074074074,0.9079440931113512,0.9844330132601737
CNN,clahe,0.9231481481481482,0.9242662919089327,0.9231481481481482,0.9233321940384773,0.9878029263831734
